id,category_id,vendor_id,name,short_description,long_description,term_and_condition,payment_type_id,voucher_type_id,member_type_id,redeem_type_id,price,discount_rate,thumbnail,images,valid_from,valid_until,country,region,lat,lng,quantity_available,quantity_left,limit_per_user,loyalty_point_required,is_active,created_at,updated_at
8,1,1,"Airbnb Value Voucher 25$ USD",short_desc,long_desc,terms,1,1,1,1,0,NULL,http://cdn.vexgift.com/vouchers/banner/airbnb.webp,NULL,1535184000,1540486799,All,NULL,NULL,NULL,100,100,1,0,0,"2018-08-25 00:00:00",NULL
9,1,1,"Jhonny Andrean Group Value Voucher 50K IDR",short_desc,long_desc,terms,1,5,1,1,0,NULL,http://cdn.vexgift.com/vouchers/banner/jagroup.webp,NULL,1535184000,1540486799,All,NULL,NULL,NULL,100,100,1,0,0,"2018-08-25 00:00:00",NULL
10,6,11,"Get Tokenomy (TEN) on Airdrop for 100 user only","Tokenomy is a platform that consists of 2 markets. The first market is a blockchain project incubator for any company that wants to do fundraise using TEN. This fundraising process will certainly pass through several screening process first before being approved. The second market is a crypto-to-crypto exchange where users could make transactions between digital currencies without using FIAT / local currency of a country. Tokenomy itself is the largest marketplace in Southeast Asia with more than 1 million active users.","Tokenomy is a platform that consists of 2 markets. The first market is a blockchain project incubator for any company that wants to do fundraise using TEN. This fundraising process will certainly pass through several screening process first before being approved. The second market is a crypto-to-crypto exchange where users could make transactions between digital currencies without using FIAT / local currency of a country. Tokenomy itself is the largest marketplace in Southeast Asia with more than 1 million active users.","1. The Token you get will be sent to your wallet which is suitable to be entered in the profile
2. The VexGift Team has the right to determine / change the distribution schedule for airdrop Tokens at the time that will be sent.
3. Airdrop Tokens can only be obtained for 1 (one) time per user account
4. VexGift Team reserves the right to cancel all airdrops that are in progress if there is a violation or misuse of this promotion.",1,4,2,2,0,NULL,http://cdn.vexgift.com/vouchers/banner/ten5000.webp,NULL,1535414400,1537228800,All,NULL,NULL,NULL,0,100,1,0,1,"2018-08-25 00:00:00","2018-08-31 01:49:07"
11,4,12,"Get VEX T-Shirt Model 1 - EXCLUSIVE MERCHANDISE","Are you confused on choosing the outfit that you have to wear everyday? Don't worry! By using VexGift, you could get VEX T-shirt with LIMITED EDITION design.  Simply combine it with your favorite blazer or jacket and you're ready to go! Get your T-shirt now!","Are you confused on choosing the outfit that you have to wear everyday? Don't worry! By using VexGift, you could get VEX T-shirt with LIMITED EDITION design.  Simply combine it with your favorite blazer or jacket and you're ready to go! Get your T-shirt now!","1. Vouchers is valid until 18 October 2018.
2. Voucher can be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
3. VexGift can change the term and condition without further notice.
4. VEX T-shirt will be sent to you according to your size option or size that available on VexGift.
5. Fill your data first on this link after you get the voucher code http://bit.ly/VexaniumMerchandise",2,6,1,2,800,NULL,http://cdn.vexgift.com/vouchers/banner/vex_tshirt_exclusive_1.webp,NULL,1535414400,1539820800,All,NULL,NULL,NULL,54,100,1,0,0,"2018-08-25 00:00:00","2018-10-15 11:03:06"
12,4,12,"Get VEX T-Shirt Model 2 - EXCLUSIVE MERCHANDISE","Are you confused on choosing the outfit that you have to wear everyday? Don't worry! By using VexGift, you could get VEX T-shirt with LIMITED EDITION design.  Simply combine it with your favorite blazer or jacket and you're ready to go! Get your T-shirt now!","Are you confused on choosing the outfit that you have to wear everyday? Don't worry! By using VexGift, you could get VEX T-shirt with LIMITED EDITION design.  Simply combine it with your favorite blazer or jacket and you're ready to go! Get your T-shirt now!","1. Vouchers is valid until 18 October 2018.
2. Voucher can be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
3. VexGift can change the term and condition without further notice.
4. VEX T-shirt will be sent to you according to your size option or size that available on VexGift.
5. Fill your data first on this link after you get the voucher code http://bit.ly/VexaniumMerchandise",2,6,1,2,800,NULL,http://cdn.vexgift.com/vouchers/banner/vex_tshirt_exclusive_2.webp,NULL,1535414400,1539820800,All,NULL,NULL,NULL,27,100,1,0,0,"2018-08-25 00:00:00","2018-10-15 12:29:26"
13,4,12,"Get VEX T-Shirt Model 3 - EXCLUSIVE MERCHANDISE","Are you confused on choosing the outfit that you have to wear everyday? Don't worry! By using VexGift, you could get VEX T-shirt with LIMITED EDITION design.  Simply combine it with your favorite blazer or jacket and you're ready to go! Get your T-shirt now!","Are you confused on choosing the outfit that you have to wear everyday? Don't worry! By using VexGift, you could get VEX T-shirt with LIMITED EDITION design.  Simply combine it with your favorite blazer or jacket and you're ready to go! Get your T-shirt now!","1. Voucher is valid until 30 (thirty) days after purchase
2. Voucher could be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
3. VexGift could change the term and condition without further notice
4. VEX T-shirt will be sent to you according to your size option or size that available on VexGift
5. Fill your data first on this link after you get the voucher code http://bit.ly/VexaniumMerchandise",2,6,1,1,800,NULL,http://cdn.vexgift.com/vouchers/banner/vex_tshirt_exclusive_2.webp,NULL,1535414400,1537228800,All,NULL,NULL,NULL,200,200,1,0,0,"2018-08-25 00:00:00",NULL
14,4,12,"Get VEX Polo Shirt Model 1 - EXCLUSIVE MERCHANDISE","Run out of semi-formal outfit? Just chill! By using VexGift, you could get VEX Polo Shirt with LIMITED EDITION design. Combine it with your work pants and you're ready to go! Get your Polo Shirt now!","Run out of semi-formal outfit? Just chill! By using VexGift, you could get VEX Polo Shirt with LIMITED EDITION design. Combine it with your work pants and you're ready to go! Get your Polo Shirt now!","1. Voucher is valid until 30 (thirty) days after purchase
2. Voucher could be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
3. VexGift could change the term and condition without further notice
4. VEX Polo shirt will be sent to you according to your size option or size that available on VexGift
5. Fill your data first on this link after you get the voucher code http://bit.ly/VexaniumMerchandise",2,6,1,1,1600,NULL," ",NULL,1535414400,1537228800,All,NULL,NULL,NULL,150,150,1,0,0,"2018-08-25 00:00:00",NULL
15,4,12,"Get VEX Polo Shirt Model 2 - EXCLUSIVE MERCHANDISE","Run out of semi-formal outfit? Just chill! By using VexGift, you could get VEX Polo Shirt with LIMITED EDITION design. Combine it with your work pants and you're ready to go! Get your Polo Shirt now!","Run out of semi-formal outfit? Just chill! By using VexGift, you could get VEX Polo Shirt with LIMITED EDITION design. Combine it with your work pants and you're ready to go! Get your Polo Shirt now!","1. Voucher is valid until 30 (thirty) days after purchase
2. Voucher could be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
3. VexGift could change the term and condition without further notice
4. VEX Polo shirt will be sent to you according to your size option or size that available on VexGift
5. Fill your data first on this link after you get the voucher code http://bit.ly/VexaniumMerchandise",2,6,1,1,1600,NULL," ",NULL,1535414400,1537228800,All,NULL,NULL,NULL,150,150,1,0,0,"2018-08-25 00:00:00",NULL
16,4,12,"Get VEX Hoodie Model 1 - EXCLUSIVE MERCHANDISE","Rainy season is coming and you haven't got any hoodie to warm yourself? Worry no more! By using VexGift, you could get VEX Hoodie with LIMITED EDITION design. Get your Hoodie now!","Rainy season is coming and you haven't got any hoodie to warm yourself? Worry no more! By using VexGift, you could get VEX Hoodie with LIMITED EDITION design. Get your Hoodie now!","1. Voucher is valid until 30 (thirty) days after purchase
2. Voucher could be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
3. VexGift could change the term and condition without further notice
4. VEX hoodie will be sent to you according to your size option or size that available on VexGift
5. Fill your data first on this link after you get the voucher code http://bit.ly/VexaniumMerchandise",2,6,1,1,1800,NULL," ",NULL,1535414400,1537228800,All,NULL,NULL,NULL,150,150,1,0,0,"2018-08-25 00:00:00",NULL
17,4,12,"Get VEX Hoodie Model 2 - EXCLUSIVE MERCHANDISE","Rainy season is coming and you haven't got any hoodie to warm yourself? Worry no more! By using VexGift, you could get VEX Hoodie with LIMITED EDITION design. Get your Hoodie now!","Rainy season is coming and you haven't got any hoodie to warm yourself? Worry no more! By using VexGift, you could get VEX Hoodie with LIMITED EDITION design. Get your Hoodie now!","1. Voucher is valid until 30 (thirty) days after purchase
2. Voucher could be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
3. VexGift could change the term and condition without further notice
4. VEX hoodie will be sent to you according to your size option or size that available on VexGift
5. Fill your data first on this link after you get the voucher code http://bit.ly/VexaniumMerchandise",2,6,1,1,1800,NULL," ",NULL,1535414400,1537228800,All,NULL,NULL,NULL,150,150,1,0,0,"2018-08-25 00:00:00",NULL
18,4,12,"Get VEX Jacket Model 1 - EXCLUSIVE MERCHANDISE","Who said wearing jacket is boring? By using VexGift, you could get VEX Jacket with LIMITED EDITION design to maximize your outfit of the day. Get your jacket now!","Who said wearing jacket is boring? By using VexGift, you could get VEX Jacket with LIMITED EDITION design to maximize your outfit of the day. Get your jacket now!","1. Voucher is valid until 30 (thirty) days after purchase
2. Voucher could be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
3. VexGift could change the term and condition without further notice
4. VEX jacket will be sent to you according to your size option or size that available on VexGift
5. Fill your data first on this link after you get the voucher code http://bit.ly/VexaniumMerchandise",2,6,1,1,1800,NULL," ",NULL,1535414400,1537228800,All,NULL,NULL,NULL,150,150,1,0,0,"2018-08-25 00:00:00",NULL
19,4,12,"Get VEX Jacket Model 2 - EXCLUSIVE MERCHANDISE","Who said wearing jacket is boring? By using VexGift, you could get VEX Jacket with LIMITED EDITION design to maximize your outfit of the day. Get your jacket now!","Who said wearing jacket is boring? By using VexGift, you could get VEX Jacket with LIMITED EDITION design to maximize your outfit of the day. Get your jacket now!","1. Voucher is valid until 30 (thirty) days after purchase
2. Voucher could be used maximum 24 hour after you get the voucher code by clicking the ‘Redeem Voucher’
3. VexGift could change the term and condition without further notice
4. VEX jacket will be sent to you according to your size option or size that available on VexGift
5. Fill your data first on this link after you get the voucher code http://bit.ly/VexaniumMerchandise",2,6,1,1,1800,NULL," ",NULL,1535414400,1537228800,All,NULL,NULL,NULL,150,150,1,0,0,"2018-08-25 00:00:00",NULL
20,6,13,"Get 1500 Heluss (HUT) on Airdrop for 1000 user only","Heluss is global insurance system built on the Achain blockchain platform and based around the
HUT token, a globally tradable cryptographic token and the future of risk mitigation. The first 1000 premium member who claim this voucher will get 1.500 HUT from total 1.500.000 allocation of HUT token.","Heluss is global insurance system built on the Achain blockchain platform and based around the
HUT token, a globally tradable cryptographic token and the future of risk mitigation. The first 1000 premium member who claim this voucher will get 1.500 HUT from total 1.500.000 allocation of HUT token.","1. The Token you get will be sent to your wallet which is suitable to be entered in the profile
2. The VexGift Team has the right to determine / change the distribution schedule for airdrop Tokens at the time that will be sent.
3. Airdrop Tokens can only be obtained for 1 (one) time per user account
4. VexGift Team reserves the right to cancel all airdrops that are in progress if there is a violation or misuse of this promotion.
5. HUT Token will distribute every monday start on 3 Sept 2018",1,4,2,2,0,NULL,http://cdn.vexgift.com/vouchers/banner/hut1500000.webp,NULL,1535414400,1540486799,All,NULL,NULL,NULL,653,1000,1,0,1,"2018-08-25 00:00:00","2018-10-25 19:04:26"
21,6,13,"Get 100 Heluss (HUT) on Airdrop for 5000 user only","Heluss is global insurance system built on the Achain blockchain platform and based around the
HUT token, a globally tradable cryptographic token and the future of risk mitigation. The first 5000 non-premium member who claim this voucher will get 100 HUT from total 500.000 allocation of HUT token.","Heluss is global insurance system built on the Achain blockchain platform and based around the
HUT token, a globally tradable cryptographic token and the future of risk mitigation. The first 5000 non-premium member who claim this voucher will get 100 HUT from total 500.000 allocation of HUT token.","1. The Token you get will be sent to your wallet which is suitable to be entered in the profile
2. The VexGift Team has the right to determine / change the distribution schedule for airdrop Tokens at the time that will be sent.
3. Airdrop Tokens can only be obtained for 1 (one) time per user account
4. VexGift Team reserves the right to cancel all airdrops that are in progress if there is a violation or misuse of this promotion.
5. HUT Token will distribute every monday start on 3 Sept 2018",1,4,1,2,0,NULL,http://cdn.vexgift.com/vouchers/banner/hut500000.webp,NULL,1535414400,1540486799,All,NULL,NULL,NULL,4193,5000,1,0,1,"2018-08-25 00:00:00","2018-10-25 17:12:58"
22,7,14,"Floweradvisor Value Voucher 100K IDR","Expressing gratitude or love using flowers is a never ending way both in traditional and modern times. Now, you can use VexGift to get voucher discount worth IDR 100.000 that you could use to give beautiful flower to your special one. Get your voucher now !","Expressing gratitude or love using flowers is a never ending way both in traditional and modern times. Now, you can use VexGift to get voucher discount worth IDR 100.000 that you could use to give beautiful flower to your special one. Get your voucher now !","1. Use your voucher on www.floweradvisor.co.id
2. Voucher could be used without minimum purchase
3. Voucher cannot be combined with others voucher
4. Voucher cannot be converted to Rupiah or any other else
5. Press ""Redeem Voucher"" to get Voucher Code
6. Floweradvisor reserves the right to cancel any order both new and ongoing transaction if there is any violation of this promotion.
7. Any term and condition could change without any further notice from Floweradvisor Indonesia",2,3,1,2,700,NULL,http://cdn.vexgift.com/vouchers/banner/fa.webp,NULL,1535414400,1543165199,All,NULL,NULL,NULL,795,800,1,0,1,"2018-08-25 00:00:00","2018-09-17 13:55:29"
23,7,14,"Floweradvisor Value Voucher 100K IDR","Expressing gratitude or love using flowers is a never ending way both in traditional and modern times. Now, you can use VexGift to get voucher discount worth IDR 100.000 that you could use to give beautiful flower to your special one. Get your voucher now !","Expressing gratitude or love using flowers is a never ending way both in traditional and modern times. Now, you can use VexGift to get voucher discount worth IDR 100.000 that you could use to give beautiful flower to your special one. Get your voucher now !","1. Use your voucher on www.floweradvisor.co.id
2. Voucher could be used without minimum purchase
3. Voucher cannot be combined with others voucher
4. Voucher cannot be converted to Rupiah or any other else
5. Press ""Redeem Voucher"" to get Voucher Code
6. Floweradvisor reserves the right to cancel any order both new and ongoing transaction if there is any violation of this promotion.
7. Any term and condition could change without any further notice from Floweradvisor Indonesia",2,3,2,2,500,NULL,http://cdn.vexgift.com/vouchers/banner/fa.webp,NULL,1535414400,1543165199,All,NULL,NULL,NULL,197,200,1,0,1,"2018-08-25 00:00:00","2018-09-08 17:27:45"
24,8,15,"Voucher Go-pay 10.000 IDR","Use GOPAY for your daily transactions! 
and get a Gopay voucher worth IDR 10,000 just by redeem your vexpoint.
Let's get your voucher now!","Use GOPAY for your daily transactions! 
and get a Gopay voucher worth IDR 10,000 just by redeem your vexpoint.
Let's get your voucher now!","1. Vouchers is valid until 10 October 2018.
2. Vouchers can be used without minimum purchases.
3. Vouchers only apply to the GOJEK application.
4. Vouchers cannot be combined with other voucher.
5. Voucher cannot be converted to Rupiah or any other else.
6. Vouchers cannot be used for other promos.
7. Vouchers can only be used once.
8. VexGift can change the term and condition without further notice.
9. Voucher can not be used twice with the same account.",2,3,2,2,700,NULL,http://cdn.vexgift.com/vouchers/banner/gojek.webp,NULL,1536556638,1539151200,All,NULL,NULL,NULL,178,200,1,0,0,"2018-08-25 00:00:00","2018-10-15 13:24:56"
25,9,12,"Get Iphone 8","Iphone 8 is the latest smartphone from Apple Mobile
that has an elegant and charming physical appearance, 
Want to have a smartphone with this elegant design? 
Get it by redeem your vexpoints on vexgift now!","Iphone 8 is the latest smartphone from Apple Mobile
that has an elegant and charming physical appearance, 
Want to have a smartphone with this elegant design? 
Get it by redeem your vexpoints on vexgift now!","1. Items cannot be converted to Rupiah or other.
2. For shipping costs will be borne by Vexgift.
3. Vexgift is not responsible for damage that occurs during the shipping process.
4. The prize delivery process will be arranged by Vexgift.
5. We are not responsible for the wrong address given.
6. VexGift can change the term and condition without further notice.
7. To redeem this voucher, you must subscribe to a Premium minimum of 3 months or more.
8. Fill your data first on this link after you get the voucher http://bit.ly/vexgiftip8",2,6,2,2,250000,NULL,http://cdn.vexgift.com/vouchers/banner/ip8.webp,NULL,1536556638,1550681940,All,NULL,NULL,NULL,0,2,1,90,1,"2018-08-25 00:00:00","2018-12-20 05:34:09"
26,10,16,"Voucher Alfamart 10.000 IDR","Get Alfamart voucher worth 10.000 IDR to buy all of your daily needs!
By using your vexpoint in vexgift.
Get your voucher now!","Get Alfamart voucher worth 10.000 IDR to buy all of your daily needs!
By using your vexpoint in vexgift.
Get your voucher now!","1. Vouchers is valid until 12 October 2018
2. Vouchers can be used without minimum purchases.
3. Vouchers cannot be combined with other voucher.
4. Vouchers cannot be converted to Rupiah or any other else.
5. Vouchers cannot be used for other promos.
6. Vouchers can only be used once.
7. VexGift can change the term and condition without further notice.",2,3,2,2,500,NULL,http://cdn.vexgift.com/vouchers/banner/alfamart10.webp,NULL,1536710400,1539302400,All,NULL,NULL,NULL,84,100,1,0,0,"2018-08-25 00:00:00","2018-10-11 06:47:45"
27,2,1,"Get Super Besar 1 and get to eat","Curious about the crispiness of chicken fillet, rice, and a glass of Pepsi?  
By using VexGift you can get voucher that you can redeem with 1 Super Besar package
that you can use on every KFC restaurant in Indonesia. Get your voucher now!","Curious about the crispiness of chicken fillet, rice, and a glass of Pepsi?  
By using VexGift you can get voucher that you can redeem with 1 Super Besar package
that you can use on every KFC restaurant in Indonesia. Get your voucher now!","1. Voucher is only valid 15 days from the voucher release date.
2. Voucher can be used without minimum purchase.
3. Vouchers applies for dine-in and take away.
4. Voucher cannot be combined with others voucher.
5. Voucher cannot be converted to Rupiah or any other else.
6. Do not press "Redeem Voucher", this process will be done by outlet staff.
7. KFC Indonesia reserves the right to cancel any order both new and ongoing transaction if there is any violation of this promotion.
8. Any term and condition can change without any further notice from KFC Indonesia.
9. Vouchers are valid at all national stores and KFC Box, 
except ALL KFC in airports, store KFC Gunung Sahari Jakarta affiliates and Seibu Blok M Pasar Raya KFC.",2,3,1,2,1100,NULL,http://cdn.vexgift.com/vouchers/banner/kfc_superbesar_1.webp,NULL,1537333200,1539928800,All,NULL,NULL,NULL,0,10,1,0,1,"2018-09-19 11:50:00","2018-09-19 12:04:43"
28,2,1,"Get Super Besar 1 and get to eat","Curious about the crispiness of chicken fillet, rice, and a glass of Pepsi?  
By using VexGift you can get voucher that you can redeem with 1 Super Besar package
that you can use on every KFC restaurant in Indonesia. Get your voucher now!","Curious about the crispiness of chicken fillet, rice, and a glass of Pepsi?  
By using VexGift you can get voucher that you can redeem with 1 Super Besar package
that you can use on every KFC restaurant in Indonesia. Get your voucher now!","1. Voucher is only valid 15 days from the voucher release date.
2. Voucher can be used without minimum purchase.
3. Vouchers applies for dine-in and take away.
4. Voucher cannot be combined with others voucher.
5. Voucher cannot be converted to Rupiah or any other else.
6. Do not press "Redeem Voucher", this process will be done by outlet staff.
7. KFC Indonesia reserves the right to cancel any order both new and ongoing transaction if there is any violation of this promotion.
8. Any term and condition can change without any further notice from KFC Indonesia.
9. Vouchers are valid at all national stores and KFC Box, 
except ALL KFC in airports, store KFC Gunung Sahari Jakarta affiliates and Seibu Blok M Pasar Raya KFC.",2,3,2,2,640,NULL,http://cdn.vexgift.com/vouchers/banner/kfc_superbesar_1.webp,NULL,1537333200,1539928800,All,NULL,NULL,NULL,0,25,1,0,1,"2018-09-19 11:50:00","2018-09-20 07:15:52"
29,5,17,"Get Airy Rooms Voucher worth 50.000 IDR","Find the best place to stay while you are travelling with Airy Rooms.
You could get a voucher worth 50,000 IDR by redeem your VexPoint.
Get your voucher now!","Find the best place to stay while you are travelling with Airy Rooms.
You could get a voucher worth 50,000 IDR by redeem your VexPoint.
Get your voucher now!","1. Voucher is valid until 19 October 2018.
2. Vouchers apply to all Airy rooms.
3. Vouchers cannot be combined with other vouchers.
4. Vouchers cannot be converted to Rupiah or other.
5. After you press ""Redeem Voucher"", you will get a voucher code.
6. Merchants / Store reserves the right to cancel any order, whether new or
ongoing if there is a violation or misuse of this promotion.
7. Airy's room voucher can only be used for ordering through the application Airy.
8. Airy's room voucher is only valid for 1 (one) transaction and is not valid multiple.
9. Vouchers are not valid for stays on 22 December 2018 - 4 January 2019.",2,3,2,2,1050,NULL,http://cdn.vexgift.com/vouchers/banner/airyIDR50.webp,NULL,1537308000,1539900000,All,NULL,NULL,NULL,48,50,1,0,1,"2018-09-19 16:00:00","2018-09-25 20:26:24"
30,11,15,"Voucher Go-pay 10.000 IDR","Use GOPAY for your daily transactions! 
and get a Gopay voucher worth IDR 10,000 just by redeem your vexpoint.
Let's get your voucher now!","Use GOPAY for your daily transactions! 
and get a Gopay voucher worth IDR 10,000 just by redeem your vexpoint.
Let's get your voucher now!","1. Vouchers is valid until 10 October 2018.
2. Vouchers can be used without minimum purchases.
3. Vouchers only apply to the GOJEK application.
4. Vouchers cannot be combined with other voucher.
5. Voucher cannot be converted to Rupiah or any other else.
6. Vouchers cannot be used for other promos.
7. Vouchers can only be used once.
8. VexGift can change the term and condition without further notice.
9. Voucher can not be used twice with the same account.",2,3,2,2,700,NULL,http://cdn.vexgift.com/vouchers/banner/gojek.webp,NULL,1536556638,1539151200,All,NULL,NULL,NULL,50,50,1,0,0,"2018-08-25 00:00:00","2018-09-21 12:05:21"
31,11,16,"Voucher Alfamart 10.000 IDR","Get Alfamart voucher worth 10.000 IDR to buy all of your daily needs!
By using your vexpoint in vexgift.
Get your voucher now!","Get Alfamart voucher worth 10.000 IDR to buy all of your daily needs!
By using your vexpoint in vexgift.
Get your voucher now!","1. Vouchers can be used without minimum purchases
2. Vouchers cannot be combined with other voucher.
3. Vouchers cannot be converted to Rupiah or any other else.
4. Vouchers cannot be used for other promos.
5. Vouchers can only be used once.
6. VexGift can change the term and condition without further notice.
7. If a problem or error occurs in this Vouchers , it can be reported via http://vexgift.freshdesk.com or you can call this number 081294000367 (Call Center).

1. Voucher dapat digunakan tanpa pembelian minimum.
2. Voucher tidak dapat digabungkan dengan voucher lainnya.
3. Voucher tidak dapat dikonversi ke Rupiah atau lainnya.
4. Voucher tidak dapat digunakan untuk promo lainnya.
5. Voucher hanya dapat digunakan satu kali.
6. VexGift dapat mengubah syarat dan ketentuan tanpa pemberitahuan lebih lanjut.
7. Jika ada masalah atau kesalahan dalam Voucher ini, dapat dilaporkan melalui http://vexgift.freshdesk.com  atau bisa menghubungi nomor ini 081294000367 (Call Center).",2,3,2,2,500,NULL,http://cdn.vexgift.com/vouchers/banner/alfamart10.webp,NULL,1536710400,1539302400,All,NULL,NULL,NULL,50,50,1,0,0,"2018-08-25 00:00:00","2018-09-20 00:30:50"
